,e_enzyme,e_enzyme_composition_string,m_reaction
2900,GLUTAMATESYN-CPLX,b3213(4) AND b3212(4),GLUSy
2901,CPLX0-7533,b2215(3),LIPOtex
2902,CPLX0-7534,b0929(3),LIPOtex
2903,CPLX0-7530,b0241(3),LIPOtex
2904,G6700-MONOMER,b1377(1),LIPOtex
2905,CARNDEHYDRA-CPLX,b0038(2),CRNCBCT
2906,EG10043-MONOMER,b4214(1),BPNT
2907,YHHO-MONOMER,b3469(1),NI2abcpp
2908,CPLX0-7533,b2215(3),ETHSO3tex
2909,CPLX0-7530,b0241(3),ETHSO3tex
2910,G6700-MONOMER,b1377(1),ETHSO3tex
2911,CPLX0-7534,b0929(3),ETHSO3tex
2912,CPLX0-224,b0937(2),FMNRx
2913,FMNREDUCT-MONOMER,b3844(1),FMNRx
2914,CPLX0-7533,b2215(3),G3PItex
2915,CPLX0-7530,b0241(3),G3PItex
2916,G6700-MONOMER,b1377(1),G3PItex
2917,CPLX0-7534,b0929(3),G3PItex
2918,COBALADENOSYLTRANS-MONOMER,b1270(1),CBLAT
2919,CPLX0-7630,b0494(4),LPLIPAL1E160pp
2920,CPLX0-7630,b0494(4),LPLIPAL1A181pp
2921,GLYCDEH-CPLX,b3945(8),APPLDHr
2922,CPLX0-7704,b0914(2),PGP161abcpp
2923,FMNREDUCT-MONOMER,b3844(1),FLVRx
2924,EG11035-MONOMER,b0411(1),DURItex
2925,CPLX0-7415,b0182(2),LPADSS
2926,CPLX0-7533,b2215(3),BUTSO3tex
2927,CPLX0-7530,b0241(3),BUTSO3tex
2928,G6700-MONOMER,b1377(1),BUTSO3tex
2929,CPLX0-7534,b0929(3),BUTSO3tex
2930,CPLX0-3201,b2328(2),MDDEP1pp
2931,EG10202-MONOMER,b3182(1),MDDEP1pp
2932,EG12015-MONOMER,b2134(1),MDDEP1pp
2933,ABC-15-CPLX,b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),ILEabcpp
2934,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS161pp
2935,G6406-MONOMER,b0789(1),CLPNS161pp
2936,CPLX0-7533,b2215(3),3UMPtex
2937,CPLX0-7530,b0241(3),3UMPtex
2938,G6700-MONOMER,b1377(1),3UMPtex
2939,CPLX0-7534,b0929(3),3UMPtex
2940,NAD-SYNTH-CPLX,b1740(2),NADS1
2941,ABC-42-CPLX,b4088(1) AND b4087(2) AND b4086(2),RIBabcpp
2942,ABC-28-CPLX_EG10817-MONOMER,b3751() AND b3750() AND b3748() AND b3749(),RIBabcpp
2943,ABC-46-CPLX,b4485(1) AND b4231(1) AND b4227(1) AND b4230(2),RIBabcpp
2944,MONOMER0-341,b3821(1),PLIPA2E161pp
2945,EG10739-MONOMER,b3825(1),LPLIPAL2E140
2946,EG10739-MONOMER,b3825(1),LPLIPAL2E141
2947,ABC-56-CPLX,b0934(2) AND b0933(2) AND b0936(),MSO3abcpp
2948,AAS-MONOMER,b2836(1),2AGPGAT181
2949,AAS-MONOMER,b2836(1),2AGPGAT180
2950,CPLX0-7533,b2215(3),CUtex
2951,CPLX0-7530,b0241(3),CUtex
2952,G6700-MONOMER,b1377(1),CUtex
2953,CPLX0-7534,b0929(3),CUtex
2954,GLYOXI-CPLX,b1651(2),LGTHL
2955,MONOMER0-341,b3821(1),PLIPA1A141pp
2956,MTR-MONOMER,b3161(1),INDOLEt2rpp
2957,CPLX0-7533,b2215(3),LCTStex
2958,CPLX0-7530,b0241(3),LCTStex
2959,G6700-MONOMER,b1377(1),LCTStex
2960,CPLX0-7534,b0929(3),LCTStex
2961,GLUTRACE-CPLX,b3967(2),GLUR
2962,CPLX0-7533,b2215(3),4HOXPACDtex
2963,CPLX0-7530,b0241(3),4HOXPACDtex
2964,G6700-MONOMER,b1377(1),4HOXPACDtex
2965,CPLX0-7534,b0929(3),4HOXPACDtex
2966,PABASYN-COMPI-MONOMER,b1812(1),GLUN
2967,CPLX0-7694,b0485(4),GLUN
2968,CPLX0-7695,b1524(2),GLUN
2969,CPLX0-7533,b2215(3),NH4tex
2970,CPLX0-7530,b0241(3),NH4tex
2971,G6700-MONOMER,b1377(1),NH4tex
2972,CPLX0-7534,b0929(3),NH4tex
2973,CPLX0-7533,b2215(3),UACGAMtex
2974,CPLX0-7530,b0241(3),UACGAMtex
2975,G6700-MONOMER,b1377(1),UACGAMtex
2976,CPLX0-7534,b0929(3),UACGAMtex
2977,CPLX0-1721,b0572(3) AND b0573(1) AND b0574(1) AND b0575(3),AGt3
2978,CPLX0-3681,b3619(5),AGMHE
2979,LysII_RS_dim,b4129(2),AP4AS
2980,CPLX-164,b2415(1) AND b2417(1) AND b2416(2) AND b1621(2),MALTptspp
2981,EG10048-MONOMER,b0049(1),AP4AH
2982,LCTP-MONOMER,b3603(1),GLYCLTt2rpp
2983,B2975-MONOMER,b2975(1),GLYCLTt2rpp
2984,G6523-MONOMER_G6518-MONOMER,b1007() AND b1012(),PYROX
2985,ABC-27-CPLX,b3725(2) AND b3728(1) AND b3726(1) AND b3727(1),PIuabcpp
2986,NAP-CPLX,b2202() AND b2203() AND b2204() AND b2205() AND b2206(),NO3R1bpp
2987,AROL-MONOMER,b0388(1),SHKK
2988,AROK-MONOMER,b3390(1),SHKK
2989,G6286-MONOMER,b0517(1),URDGLYCD
2990,PGPPHOSPHAB-MONOMER,b1278(1),PAPA140pp
2991,ETHAMLY-CPLX,b2441(6) AND b2440(6),ETHAAL
2992,FRUCBISALD-CLASSI,b2097(10),FBA
2993,FRUCBISALD-CLASSII,b2925(2),FBA
2994,G6960-MONOMER,b1773(1),FBA
2995,CPLX0-3001,b0237(2),LALGP
2996,CPLX0-3976_edit,b3785() AND b3793(),ECAP2pp
2997,PNUC-MONOMER,b0751(1),NMNPtpp
2998,CPLX0-7533,b2215(3),Ktex
2999,CPLX0-7530,b0241(3),Ktex
3000,G6700-MONOMER,b1377(1),Ktex
3001,CPLX0-7534,b0929(3),Ktex
3002,CPLX0-2081,b1199(1) AND b1198(2) AND b1200(2),DHAPT
3003,GABP-MONOMER,b2663(1),ABUTt2pp
3004,G6425-MONOMER,b0822(1),G6PP
3005,N-ACETYLGLUTPREDUCT-MONOMER,b3958(1),AGPR
3006,EG11671-MONOMER,b2223(1),BUTt2rpp
3007,PSD-MONOMER,b4160(1),PSD160
3008,CPLX0-7533,b2215(3),CYSDtex
3009,CPLX0-7530,b0241(3),CYSDtex
3010,G6700-MONOMER,b1377(1),CYSDtex
3011,CPLX0-7534,b0929(3),CYSDtex
3012,CPLX0-7465,b1190(2),ALAR
3013,ALARACEBIOSYN-MONOMER,b4053(1),ALAR
3014,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),MINCYCtpp
3015,CPLX0-3932,b0463() AND b2470() AND b3035(),MINCYCtpp
3016,CPLX0-7642,b4111(2),CRNt2rpp
3017,CPLX0-7533,b2215(3),MALDtex
3018,CPLX0-7530,b0241(3),MALDtex
3019,CPLX0-7534,b0929(3),MALDtex
3020,G6700-MONOMER,b1377(1),MALDtex
3021,GLUTDECARBOXB-CPLX,b1493(6),GLUDC
3022,GLUTDECARBOXA-CPLX,b3517(6),GLUDC
3023,CPLX0-242,b3425(2),CYANST
3024,GDHA-CPLX,b1761(6),GLUDy
3025,CPLX0-7704,b0914(2),PGP181abcpp
3026,MONOMER0-341,b3821(1),PLIPA2A140pp
3027,EG11905-MONOMER,b3946(1),F6PA
3028,CPLX0-201,b0825(12),F6PA
3029,CPLX0-7533,b2215(3),FRUtex
3030,CPLX0-7530,b0241(3),FRUtex
3031,G6700-MONOMER,b1377(1),FRUtex
3032,CPLX0-7534,b0929(3),FRUtex
3033,NIRC-MONOMER,b3367(1),NO2t2rpp
3034,NARK-MONOMER,b1223(1),NO2t2rpp
3035,EG12440-MONOMER,b4233(1),UM3PL
3036,EG10983-MONOMER,b2533(1),MI1PP
3037,CPLX0-7533,b2215(3),26DAHtex
3038,CPLX0-7530,b0241(3),26DAHtex
3039,G6700-MONOMER,b1377(1),26DAHtex
3040,CPLX0-7534,b0929(3),26DAHtex
3041,GLCNACPTRANS-MONOMER,b3784(1),ACGAMT
3042,CPLX0-7533,b2215(3),FUMtex
3043,CPLX0-7530,b0241(3),FUMtex
3044,G6700-MONOMER,b1377(1),FUMtex
3045,CPLX0-7534,b0929(3),FUMtex
3046,HCAMULTI-CPLX,b2542(1) AND b2540(1) AND b2538(1) AND b2539(1),PPPNDO
3047,CPLX0-1667,b2342(),ACACT7r
3048,FADA-CPLX,b3845(2),ACACT7r
3049,G7841-MONOMER,b4161(1),NTP5
3050,MONOMER0-341,b3821(1),PLIPA2A181pp
3051,G6576-MONOMER,b1119(1),ACGAMK
3052,CPLX0-7655,b4036(3),MALTTTRtexi
3053,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),G3PSabcpp
3054,CPLX0-7533,b2215(3),N2Otex
3055,CPLX0-7530,b0241(3),N2Otex
3056,G6700-MONOMER,b1377(1),N2Otex
3057,CPLX0-7534,b0929(3),N2Otex
3058,DHPDIOXYGEN-CPLX,b0348(4),DHCINDO
3059,EG10723-MONOMER,b4094(1),R15BPK
3060,HCAMULTI-CPLX,b2542(1) AND b2540(1) AND b2538(1) AND b2539(1),CINNDO
3061,THZ-KIN-MONOMER,b2104(1),HETZK
3062,ABC-53-CPLX,b4261() AND b4262() AND b3201(2) AND b3199() AND b3200(),K2L4Aabctex
3063,KDOTRANS-MONOMER,b3633(1),MOAT
3064,DTDPGLUCDEHYDRAT-CPLX,b2041(2),TDPGDH
3065,DTDPGLUCDEHYDRAT2-MONOMER,b3788(1),TDPGDH
3066,CPLX0-7533,b2215(3),COBALT2tex
3067,CPLX0-7530,b0241(3),COBALT2tex
3068,G6700-MONOMER,b1377(1),COBALT2tex
3069,CPLX0-7534,b0929(3),COBALT2tex
3070,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA141
3071,PHOSPHAGLYPSYN-MONOMER,b1912(1),PGSA140
3072,CPLX0-7808,b2436(2),CPPPGO
3073,CPLX0-7704,b0914(2),PE141abcpp
3074,CPLX0-7533,b2215(3),H2Stex
3075,CPLX0-7530,b0241(3),H2Stex
3076,G6700-MONOMER,b1377(1),H2Stex
3077,CPLX0-7534,b0929(3),H2Stex
3078,EG10456-MONOMER,b2552(1),NODOx
3079,NICOTINAMID-MONOMER,b1768(1),NNAM
3080,APP-UBIOX-CPLX,b0978(1) AND b0979(1),CYTBD2pp
3081,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,b3433(2),ASAD
3082,MANNONOXIDOREDUCT-MONOMER,b4323(1),MANAO
3083,CPLX0-235,b3553(2),HPYRRy
3084,G6539-MONOMER,b1033(1),HPYRRy
3085,CPLX0-235,b3553(2),HPYRRx
3086,G6539-MONOMER,b1033(1),HPYRRx
3087,CARDIOLIPSYN-MONOMER,b1249(1),CLPNS120pp
3088,G6406-MONOMER,b0789(1),CLPNS120pp
3089,SPED-MONOMER,b0120(1),ADMDC
3090,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,b1850(3),OAADC
3091,PGPPHOSPHAB-MONOMER,b1278(1),PAPA180pp
3092,IDONDEHYD-MONOMER,b4267(1),IDOND
3093,UGD-MONOMER,b2028(1),UDPGD
3094,ABC-7-CPLX,b2422(2) AND b2423(1) AND b2424(1) AND b2425(1),SULabcpp
3095,ABC-70-CPLX,b3917(1) AND b2422(2) AND b2423(1) AND b2424(1),SULabcpp
3096,ABC-19-CPLX,b0764(2) AND b0765(2) AND b0763(1),SULabcpp
3097,CPLX0-7533,b2215(3),CMPtex
3098,CPLX0-7530,b0241(3),CMPtex
3099,G6700-MONOMER,b1377(1),CMPtex
3100,CPLX0-7534,b0929(3),CMPtex
3101,CPLX0-7533,b2215(3),DDGLCNtex
3102,G6700-MONOMER,b1377(1),DDGLCNtex
3103,CPLX0-7530,b0241(3),DDGLCNtex
3104,CPLX0-7534,b0929(3),DDGLCNtex
3105,CPLX0-1541,b0159(2),MTAN
3106,ABC-19-CPLX,b0764(2) AND b0765(2) AND b0763(1),MOBDabcpp
3107,ABC-70-CPLX,b3917(1) AND b2422(2) AND b2423(1) AND b2424(1),MOBDabcpp
3108,ABC-7-CPLX,b2422(2) AND b2423(1) AND b2424(1) AND b2425(1),MOBDabcpp
3109,CPLX0-7642,b4111(2),PROt2rpp
3110,G6718-MONOMER,b1397(1),OXDHCOAT
3111,EG10280-MONOMER,b2344(1),TTDCAtexi
3112,ALPHA-AMYL-CYTO-MONOMER,b1927(1),AAMYL
3113,CPLX0-7462,b1692(2),QUINDH
3114,CPLX0-7655,b4036(3),14GLUCANtexi
3115,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,b3729(2),GF6PTA
3116,CPLX0-7533,b2215(3),CHLtex
3117,CPLX0-7530,b0241(3),CHLtex
3118,G6700-MONOMER,b1377(1),CHLtex
3119,CPLX0-7534,b0929(3),CHLtex
3120,EG10201-MONOMER,b0632(1),MDDCP3pp
3121,EG10202-MONOMER,b3182(1),MDDCP3pp
3122,EG10203-MONOMER,b0839(1),MDDCP3pp
3123,RPOA-MONOMER,b2010(1),MDDCP3pp
3124,CPLX0-3841,b1208(2),CDPMEK
3125,G6260-MONOMER,b0484(1),CU1abcpp
3126,EG12455-MONOMER,b2835(1),2AGPA120tipp
3127,B2170-MONOMER,b2170(1),LCTSt3ipp
3128,B0070-MONOMER,b0070(1),LCTSt3ipp
3129,YDEA-MONOMER,b1528(1),LCTSt3ipp
3130,CPLX0-1601,b1587(1) AND b1590(1) AND b1588(1) AND b1589(1),SELR
3131,MONOMER0-341,b3821(1),PLIPA1G180pp
81,Phe_RS_tetra,b1713(2) AND b1714(2),PHETRS
105,CPLX0-7847,b0052(2),PDX5PS
124,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,b0181(3),UAGAAT
144,CysS_mono,b0526(1),CYSTRS
152,LeuS_mono,b0642(1),LEUTRS
154,GlnS_mono,b0680(1),GLNTRS
162,BIOTIN-SYN-CPLX,b0775(2),BTS5
163,7KAPSYN-CPLX,b0776(2),AOXSr2
165,EG11597-MONOMER,b0784(2) AND b0785(2),MPTS
209,Tyr_RS_dim,b1637(2),TYRTRS
217,Thr_RS_dim,b1719(2),THRTRS
223,Asp_RS_dim,b1866(2),ASPTRS
253,His_RS_dim,b2514(2),HISTRS
275,LysI_RS_dim,b2890(2),LYSTRS
303,Fmt_mono,b3288(1),FMETTRS
307,EG10122-MONOMER,b3412(1),PMEACPE
350,FLAVONADPREDUCT-MONOMER,b3924(1),FLDR2
373,EG11433-MONOMER,b4219(1),METSOXR1
385,EG10154-MONOMER,b0826(1),MPTSS
398,CPLX0-321,b2564(8),PDX5PS
431,EG11598-MONOMER,b0784(2) AND b0785(2),MPTS
463,Met_RS_dim,b2114(2),METTRS
480,Ala_RS_tetra,b2697(2),ALATRS
